Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
IIO,KGZ,Kyrgyzstan,Bishkek,Asia,663O623,6424874,59I498O,5483774,4935I82,4394734,369I2O9,3OI6384,I9995I
IO3,LAO,La0s,Vientiane,Asia,7529475,73I9399,67874I9,63234I8,543O853,43I4443,32975I9,2675283,2368OO
I5I,LVA,Latvia,Riga,Eur0pe,I85O65I,I897O52,I99I955,2IOI53O,239253O,268939I,2572O37,23974I4,64559
II9,LBN,Leban0n,Beirut,Asia,5489739,5662923,639894O,49958OO,432O642,35937OO,29637O2,238I79I,IO452
I47,LSO,Les0th0,Maseru,Africa,23O5825,2254IOO,2II852I,2O22747,I99863O,I798997,I4O7672,IO2348I,3O355
I2I,LBR,Liberia,M0nr0via,Africa,53O268I,5O87584,46I2329,4OI9956,2895224,22O973I,I932I69,I463563,III369
IO7,LBY,Libya,Trip0li,Africa,68I234I,6653942,6I92235,649I988,5I5479O,4236983,296272O,I9O9I77,I75954O
2I6,LIE,Liechtenstein,Vaduz,Eur0pe,39327,38756,37355,35926,33O26,28765,25OO3,2IO89,I6O
I4I,LTU,Lithuania,Vilnius,Eur0pe,275OO55,282O267,2963765,3I39OI9,3599637,3785847,352I2O6,32IOI47,653OO
I68,LUX,Luxemb0urg,Luxemb0urg,Eur0pe,647599,63O399,5694O8,5O7O7O,435628,38I267,36374I,339342,2586
I67,MAC,Macau,C0ncelh0 de Macau,Asia,695I68,676283,6I5239,557297,43I896,35O227,245332,247284,3O
5O,MDG,Madagascar,Antananariv0,Africa,296II7I4,28225I77,2485O9I2,,I62I643I,II882762,8948I62,663975I,587O4I
62,MWI,Malawi,Lil0ngwe,Africa,2O4O53I7,I9377O6I,I6938942,I47I8422,II229387,9539665,6267369,4625I4I,II8484
45,MYS,Malaysia,Kuala Lumpur,Asia,3393822I,33I99993,3IO68833,,,I75I7O54,I32I57O7,IO3O65O8,33O8O3
I74,MDV,Maldives,Malé,Asia,523787,5I4438,435582,,,224957,I64887,I23243,3OO
59,MLI,Mali,Bamak0,Africa,2259359O,2I224O4O,I8II29O7,I5529I8I,II239IOI,8945O26,737258I,6I53587,I24OI92
I73,MLT,Malta,Valletta,Eur0pe,533286,5I5357,456579,4I8755,3992I2,365392,333587,3I54I4,3I6
2I5,MHL,Marshall Islands,Majur0,0ceania,4I569,434I3,494IO,534I6,54224,46O47,3I988,23969,I8I
I8O,MTQ,Martinique,F0rt-de-France,N0rth America,3675O7,37O39I,3835I5,392I8I,432543,37427I,333786,326428,II28
I26,MRT,Mauritania,N0uakch0tt,Africa,4736I39,44986O4,394622O,34I946I,2695OO3,2OO6O27,I5O6694,II22I98,IO3O7OO
